id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto74,coddpto,departamento74,departamento,codmpio74,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,19720002,5,,,SDC,0,0
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,,998,VOTOS NULOS,,,52,0
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,193,1
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,1597,1
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,94,1
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,0,1
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,19720002,5,,,SDC,0,0
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,,998,VOTOS NULOS,,,0,0
719740015,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,923,1
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,744,1
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,25,1
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,23,1
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,19720002,5,,,SDC,0,0
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,,998,VOTOS NULOS,,,0,0
719740016,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740017,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Municipal,19720001,1,,,UNION NACIONAL DE OPOSICION UNO,28,1
719740017,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Municipal,19720002,2,,,SDC,0,0
719740017,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Municipal,19749999,3,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740017,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Municipal,19610001,4,,,ALIANZA NAL POPULAR ANAPO,282,1
719740017,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Municipal,18480001,5,,,PARTIDO LIBERAL COLOMBIANO,2089,1
719740017,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Municipal,18490002,6,,,PARTIDO CONSERVADOR COLOMBIANO,1790,1
