id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto70,coddpto,departamento70,departamento,codmpio70,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules,index,municipio_old
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,3,1,PIEDRAHITA,CARDONA,JAIME,0,1,75,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,3,2,RAMIREZ,AGUDELO,LIBARDO,0,1,76,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,4,,,,PARTIDO CONSERVADOR COLOMBIANO,122,0,79,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,4,1,RESTREPO,LONDONO,JUAN GONZALO,0,1,78,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,5,1,SIERRA,L,DARIO,0,0,80,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,5,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0,81,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,,998,,VOTOS NULOS,,,0,0,82,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,,999,,VOTOS EN BLANCO,,,0,0,83,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,117,0,86,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,1,1,AGUDELO,VILLA,HERNANDO,0,1,84,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,1,2,FERNANDEZ,SANTAMARIA,JORGE,0,1,85,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,3,0,89,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,2,1,ECHEVERRI,MEJIA,HERNANDO,0,1,87,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,2,2,ELEJALDE,TORO,BERNARDO,0,1,88,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,1,0,91,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,3,1,RESTREPO,ARBELAEZ,CARLOS,0,1,90,ALEJANDRIA
